,tp,sl,rate,profit
0,0.3,0.4,0.75,160981.8
1,0.7,0.4,1.75,142459.09999999998
2,1.0,0.4,2.5,118354.0
3,1.5,0.4,3.75,101412.0
4,2.0,0.4,5.0,101966.0
5,3.0,0.4,7.5,120276.0
6,0.3,0.8,0.37,161226.6
7,0.7,0.8,0.87,154764.4
8,1.0,0.8,1.25,130731.0
9,1.5,0.8,1.88,111361.5
10,2.0,0.8,2.5,109980.0
11,3.0,0.8,3.75,125874.0
12,0.3,1.0,0.3,161250.6
13,0.7,1.0,0.7,154837.9
14,1.0,1.0,1.0,132998.0
15,1.5,1.0,1.5,113299.5
16,2.0,1.0,2.0,111648.0
17,3.0,1.0,3.0,127113.0
18,0.3,1.5,0.2,161278.8
19,0.7,1.5,0.47,154966.69999999998
20,1.0,1.5,0.67,133257.0
21,1.5,1.5,1.0,116046.0
22,2.0,1.5,1.33,114216.0
23,3.0,1.5,2.0,129108.0
